id,date,tweet,sentiment
1590337331802050561,2022-11-09,"@IndiHomeCare kak kan saya pake paket indihome wifi doang, mau di upgrade ke yg plus TV yg paket 2P 30 MBPS (internet+TV) itu biaya pemasangannya berapa y?",2.0
1590337215426490369,2022-11-09,"@bowlbasawr Halo, Sobat. Caranya bisa melalui kami, boleh disampaikan alasan berhenti berlangganan karena apa? Selain itu bisa infokan juga data-data berikut:  1. Nomor IndiHome  2. Atas nama pemilik IndiHome  3. Alamat lengkap (beserta patokan lokasi/ ancer-ancer)  4. Nama pemohon",2.0
1590337197223604226,2022-11-09,Nonton Manchester United ada Ronaldo. Main sendiri tanpa kesebelasan. Ayo tambah layanan indihome~nya selagi ada promo. Sebelum waktu promo kehabisan🫶🏻  #AktivitasTanpaBatas #InternetnyaIndonesia #PantunKalsel  https://t.co/X61Khra5H7,2.0
1590337009247473664,2022-11-09,Biar tampilannya full mending Pake laptop dl cek2 barang pesanan &amp; paketku.. untung sdh pake Indihome jg jd bisa maksimal koneksinya.👍  https://t.co/FCopyFPfn5,1.0
1590336841076846598,2022-11-09,"Nonton mukbang nasi padang pake internet IndiHome bikin laperrr, apalagi yang di makan menu favorit ku banget rendang jadi ngilerr😋",1.0
1590336820117921794,2022-11-09,"Pulang kerja masih harus siapin makan malam buat keluarga. Dan terkadang pernah gatau mau masak apa lagi. Untungnya youtube banyak referensi resep masakan enak, tinggal nonton tutorial masak pake Internet IndiHome masak makan malam beres 😍",1.0
1590336689914118145,2022-11-09,@wiwi_bornpink @00SIJMIK @blinkmf Moga calonya wifi nya indihome minta reset mulu 😭,0.0
1590336510095929347,2022-11-09,seru banget acara Joyland tahun ini di GBK ditunggu bagi-bagi tiket gratisnya tahun depan ya min @IndiHome #IndiHomediJoyland #IndiHomeMbois  #AktivitasTanpaBatas  https://t.co/wpBPnBl6eb,2.0
1590336506165886977,2022-11-09,IndiHome Jabotabek ngadain lagi lomba di hari Pahlawan Indonesia &amp; Hari Disabilitas Internasional loh! ayoo ajak anak dan keluarga buat ikutan!   #IndiHomeTheHeroInMe #INDIPahlawanDifabel  https://t.co/d7MapCbLK7,2.0
1590336242100883457,2022-11-09,IndiHome Jabotabek ngadain lagi lomba di hari Pahlawan Indonesia &amp; Hari Disabilitas Internasional loh! ayoo ajak anak dan keluarga buat ikutan! #IndiHomeTheHeroInMe  https://t.co/sD2T1O7iKI,2.0
1590336134038843395,2022-11-09,@ndagels Yang bisa lihat kuda nya cuman anak indihome,2.0
1590336074156765190,2022-11-09,@art_by_mrs @worksfess @IndiHome Foto dipake teknisi buat pinjol,0.0
1590335775518134274,2022-11-09,Donwload aplikasi apapun pasti cepat dan akurat Karena berkat indihome koneksi yang sangat cepat pastinya hemat #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/SI660HxNpj,1.0
1590335754416566273,2022-11-09,@FarthurRosi @IndiHome Bot,2.0
1590335714600062979,2022-11-09,"@blairelsm @IndiHome @IndiHomeCare Iya bro dari kemarin malam jam 11 Indihomenya parah indikator LOS merah kedip""",0.0
1590335396525015042,2022-11-09,"babay @IndiHome @IndiHomeCare sudah terlampau muak, tolong dibantu urusan pencabutannya ws wareg  https://t.co/dAPv5mqSNz",0.0
1590335252722917377,2022-11-09,"@rizkynatalia00 Halo, Kak Rizky. boleh disampaikan alasan berhenti berlangganan karena apa? Selain itu bisa infokan juga data-data berikut ke DM @IndiHomeCare :  1. Nomor IndiHome  2. Atas nama pemilik IndiHome  3. Alamat lengkap (beserta patokan lokasi/ ancer-ancer)",2.0
1590335146892591104,2022-11-09,seru banget acara Joyland tahun ini di GBK ditunggu bagi-bagi tiket gratisnya tahun depan ya min @IndiHome #IndiHomediJoyland #IndiHomeMbois  #AktivitasTanpaBatas  https://t.co/eyrStt4fNJ,2.0
1590335117549240320,2022-11-09,Belanja online banyak bonusnya Pastinya butuh internet yang super cepat biyar tidak kehabisan Untung ada indihome semua teratasi Bonusnya pasti menanti #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/ubZm6lKJ41,1.0
