id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment,topic
1590337331802050561,1590337331802050561,2022-11-09 20:35:41 WIB,2022-11-09,20:35:41,+0700,470157855,kupu2_songkang,SK🦋,,"@IndiHomeCare kak kan saya pake paket indihome wifi doang, mau di upgrade ke yg plus TV yg paket 2P 30 MBPS (internet+TV) itu biaya pemasangannya berapa y?",in,[],[],[],0,0,0,[],[],https://twitter.com/kupu2_songkang/status/1590337331802050561,FALSE,,0,,,,,,,,[],,,,,2,
1590337215426490369,1590333926203351042,2022-11-09 20:35:13 WIB,2022-11-09,20:35:13,+0700,765035200896118789,indihomecare,IndiHomeCare,,"@bowlbasawr Halo, Sobat. Caranya bisa melalui kami, boleh disampaikan alasan berhenti berlangganan karena apa? Selain itu bisa infokan juga data-data berikut:  1. Nomor IndiHome  2. Atas nama pemilik IndiHome  3. Alamat lengkap (beserta patokan lokasi/ ancer-ancer)  4. Nama pemohon",in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1590337215426490369,FALSE,,0,,,,,,,,"[{'screen_name': 'bowlbasawr', 'name': 'Pokémon Hijau', 'id': '1544050951564058624'}]",,,,,2,
1590337197223604226,1590337197223604226,2022-11-09 20:35:09 WIB,2022-11-09,20:35:09,+0700,1469167288662167553,ettyrastika,Etty Rastika,,Nonton Manchester United ada Ronaldo. Main sendiri tanpa kesebelasan. Ayo tambah layanan indihome~nya selagi ada promo. Sebelum waktu promo kehabisan🫶🏻  #AktivitasTanpaBatas #InternetnyaIndonesia #PantunKalsel  https://t.co/X61Khra5H7,in,[],[],[],0,0,0,"['aktivitastanpabatas', 'internetnyaindonesia', 'pantunkalsel']",[],https://twitter.com/EttyRastika/status/1590337197223604226,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1590337132094058496/pu/img/m310h0ikJ7oRRpHi.jpg,,,,,,,[],,,,,2,
1590337009247473664,1590337009247473664,2022-11-09 20:34:24 WIB,2022-11-09,20:34:24,+0700,1514838822672306176,afdallfc,Afdallfc,,Biar tampilannya full mending Pake laptop dl cek2 barang pesanan &amp; paketku.. untung sdh pake Indihome jg jd bisa maksimal koneksinya.👍  https://t.co/FCopyFPfn5,in,[],[],[],0,0,0,[],[],https://twitter.com/afdallfc/status/1590337009247473664,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1590336939089350657/pu/img/F_lLvaTx8K5yJ9Pr.jpg,,,,,,,[],,,,,1,
1590336841076846598,1590336841076846598,2022-11-09 20:33:44 WIB,2022-11-09,20:33:44,+0700,1242668044041613318,namakuanya,🤍,,"Nonton mukbang nasi padang pake internet IndiHome bikin laperrr, apalagi yang di makan menu favorit ku banget rendang jadi ngilerr😋",in,[],[],[],0,0,0,[],[],https://twitter.com/namakuanya/status/1590336841076846598,FALSE,,0,,,,,,,,[],,,,,1,
1590336820117921794,1590336820117921794,2022-11-09 20:33:39 WIB,2022-11-09,20:33:39,+0700,1242668044041613318,namakuanya,🤍,,"Pulang kerja masih harus siapin makan malam buat keluarga. Dan terkadang pernah gatau mau masak apa lagi. Untungnya youtube banyak referensi resep masakan enak, tinggal nonton tutorial masak pake Internet IndiHome masak makan malam beres 😍",in,[],[],[],0,0,0,[],[],https://twitter.com/namakuanya/status/1590336820117921794,FALSE,,0,,,,,,,,[],,,,,1,
1590336689914118145,1590226430725484544,2022-11-09 20:33:08 WIB,2022-11-09,20:33:08,+0700,1232311683328040960,syafiqmughnimar,ga punya duit,,@wiwi_bornpink @00SIJMIK @blinkmf Moga calonya wifi nya indihome minta reset mulu 😭,in,[],[],[],0,0,0,[],[],https://twitter.com/syafiqmughnimar/status/1590336689914118145,FALSE,,0,,,,,,,,"[{'screen_name': 'wiwi_bornpink', 'name': 'wi 🔥 BORNPINK', 'id': '1457703127986032641'}, {'screen_name': '00SIJMIK', 'name': 'fia 🖤💗 BadProsecutor every Wed-Thu', 'id': '1590451436'}, {'screen_name': 'blinkmf', 'name': 'BLINKMF', 'id': '1195178436450324482'}]",,,,,0,
1590336510095929347,1590336510095929347,2022-11-09 20:32:25 WIB,2022-11-09,20:32:25,+0700,1569236483336458240,suhartono44,suhartono,,seru banget acara Joyland tahun ini di GBK ditunggu bagi-bagi tiket gratisnya tahun depan ya min @IndiHome #IndiHomediJoyland #IndiHomeMbois  #AktivitasTanpaBatas  https://t.co/wpBPnBl6eb,in,"[{'screen_name': 'indihome', 'name': 'indihome', 'id': '1075673058931806208'}]",[],[],0,0,0,"['indihomedijoyland', 'indihomembois', 'aktivitastanpabatas']",[],https://twitter.com/suhartono44/status/1590336510095929347,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1590336436338716673/pu/img/uUUKhUCk4qLXDB9u.jpg,,,,,,,[],,,,,2,
1590336506165886977,1590336506165886977,2022-11-09 20:32:24 WIB,2022-11-09,20:32:24,+0700,1405053860511555587,nurhasan2075,Nurhasan,,IndiHome Jabotabek ngadain lagi lomba di hari Pahlawan Indonesia &amp; Hari Disabilitas Internasional loh! ayoo ajak anak dan keluarga buat ikutan!   #IndiHomeTheHeroInMe #INDIPahlawanDifabel  https://t.co/d7MapCbLK7,in,[],[],[],1,0,0,"['indihometheheroinme', 'indipahlawandifabel']",[],https://twitter.com/NurHasan2075/status/1590336506165886977,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1590336418286809090/pu/img/b0IoyNveYTZbxnVb.jpg,,,,,,,[],,,,,2,
1590336242100883457,1590336242100883457,2022-11-09 20:31:21 WIB,2022-11-09,20:31:21,+0700,1566410144371871749,ihdaku2,Ihdaku,,IndiHome Jabotabek ngadain lagi lomba di hari Pahlawan Indonesia &amp; Hari Disabilitas Internasional loh! ayoo ajak anak dan keluarga buat ikutan! #IndiHomeTheHeroInMe  https://t.co/sD2T1O7iKI,in,[],[],[],0,0,0,['indihometheheroinme'],[],https://twitter.com/Ihdaku2/status/1590336242100883457,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1590336198274269184/pu/img/1xqVLG57ZszJ3NRI.jpg,,,,,,,[],,,,,2,
